emoji,description,group,points,primary
🙎,"person pouting",People & Body,1F64E,true
🙎🏻,"person pouting: light skin tone",People & Body,1F64E 1F3FB,false
🙎🏼,"person pouting: medium-light skin tone",People & Body,1F64E 1F3FC,false
🙎🏽,"person pouting: medium skin tone",People & Body,1F64E 1F3FD,false
🙎🏾,"person pouting: medium-dark skin tone",People & Body,1F64E 1F3FE,false
🙎🏿,"person pouting: dark skin tone",People & Body,1F64E 1F3FF,false
🙎‍♂️,"man pouting",People & Body,1F64E 200D 2642 FE0F,false
🙎🏻‍♂️,"man pouting: light skin tone",People & Body,1F64E 1F3FB 200D 2642 FE0F,false
🙎🏼‍♂️,"man pouting: medium-light skin tone",People & Body,1F64E 1F3FC 200D 2642 FE0F,false
🙎🏽‍♂️,"man pouting: medium skin tone",People & Body,1F64E 1F3FD 200D 2642 FE0F,false
🙎🏾‍♂️,"man pouting: medium-dark skin tone",People & Body,1F64E 1F3FE 200D 2642 FE0F,false
🙎🏿‍♂️,"man pouting: dark skin tone",People & Body,1F64E 1F3FF 200D 2642 FE0F,false
🙎‍♀️,"woman pouting",People & Body,1F64E 200D 2640 FE0F,false
🙎🏻‍♀️,"woman pouting: light skin tone",People & Body,1F64E 1F3FB 200D 2640 FE0F,false
🙎🏼‍♀️,"woman pouting: medium-light skin tone",People & Body,1F64E 1F3FC 200D 2640 FE0F,false
🙎🏽‍♀️,"woman pouting: medium skin tone",People & Body,1F64E 1F3FD 200D 2640 FE0F,false
🙎🏾‍♀️,"woman pouting: medium-dark skin tone",People & Body,1F64E 1F3FE 200D 2640 FE0F,false
🙎🏿‍♀️,"woman pouting: dark skin tone",People & Body,1F64E 1F3FF 200D 2640 FE0F,false
🙅,"person gesturing NO",People & Body,1F645,true
🙅🏻,"person gesturing NO: light skin tone",People & Body,1F645 1F3FB,false
🙅🏼,"person gesturing NO: medium-light skin tone",People & Body,1F645 1F3FC,false
🙅🏽,"person gesturing NO: medium skin tone",People & Body,1F645 1F3FD,false
🙅🏾,"person gesturing NO: medium-dark skin tone",People & Body,1F645 1F3FE,false
🙅🏿,"person gesturing NO: dark skin tone",People & Body,1F645 1F3FF,false
🙅‍♂️,"man gesturing NO",People & Body,1F645 200D 2642 FE0F,false
🙅🏻‍♂️,"man gesturing NO: light skin tone",People & Body,1F645 1F3FB 200D 2642 FE0F,false
🙅🏼‍♂️,"man gesturing NO: medium-light skin tone",People & Body,1F645 1F3FC 200D 2642 FE0F,false
🙅🏽‍♂️,"man gesturing NO: medium skin tone",People & Body,1F645 1F3FD 200D 2642 FE0F,false
🙅🏾‍♂️,"man gesturing NO: medium-dark skin tone",People & Body,1F645 1F3FE 200D 2642 FE0F,false
