emoji,description,group,points,primary
🏃🏻‍♂️‍➡️,"man running facing right: light skin tone",People & Body,1F3C3 1F3FB 200D 2642 FE0F 200D 27A1 FE0F,false
🏃🏼‍♂️‍➡️,"man running facing right: medium-light skin tone",People & Body,1F3C3 1F3FC 200D 2642 FE0F 200D 27A1 FE0F,false
🏃🏽‍♂️‍➡️,"man running facing right: medium skin tone",People & Body,1F3C3 1F3FD 200D 2642 FE0F 200D 27A1 FE0F,false
🏃🏾‍♂️‍➡️,"man running facing right: medium-dark skin tone",People & Body,1F3C3 1F3FE 200D 2642 FE0F 200D 27A1 FE0F,false
🏃🏿‍♂️‍➡️,"man running facing right: dark skin tone",People & Body,1F3C3 1F3FF 200D 2642 FE0F 200D 27A1 FE0F,false
💃,"woman dancing",People & Body,1F483,true
💃🏻,"woman dancing: light skin tone",People & Body,1F483 1F3FB,false
💃🏼,"woman dancing: medium-light skin tone",People & Body,1F483 1F3FC,false
💃🏽,"woman dancing: medium skin tone",People & Body,1F483 1F3FD,false
💃🏾,"woman dancing: medium-dark skin tone",People & Body,1F483 1F3FE,false
💃🏿,"woman dancing: dark skin tone",People & Body,1F483 1F3FF,false
🕺,"man dancing",People & Body,1F57A,true
🕺🏻,"man dancing: light skin tone",People & Body,1F57A 1F3FB,false
🕺🏼,"man dancing: medium-light skin tone",People & Body,1F57A 1F3FC,false
🕺🏽,"man dancing: medium skin tone",People & Body,1F57A 1F3FD,false
🕺🏾,"man dancing: medium-dark skin tone",People & Body,1F57A 1F3FE,false
🕺🏿,"man dancing: dark skin tone",People & Body,1F57A 1F3FF,false
🕴️,"person in suit levitating",People & Body,1F574 FE0F,false
🕴🏻,"person in suit levitating: light skin tone",People & Body,1F574 1F3FB,false
🕴🏼,"person in suit levitating: medium-light skin tone",People & Body,1F574 1F3FC,false
🕴🏽,"person in suit levitating: medium skin tone",People & Body,1F574 1F3FD,false
🕴🏾,"person in suit levitating: medium-dark skin tone",People & Body,1F574 1F3FE,false
🕴🏿,"person in suit levitating: dark skin tone",People & Body,1F574 1F3FF,false
👯,"people with bunny ears",People & Body,1F46F,true
👯‍♂️,"men with bunny ears",People & Body,1F46F 200D 2642 FE0F,false
👯‍♀️,"women with bunny ears",People & Body,1F46F 200D 2640 FE0F,false
🧖,"person in steamy room",People & Body,1F9D6,true
🧖🏻,"person in steamy room: light skin tone",People & Body,1F9D6 1F3FB,false
🧖🏼,"person in steamy room: medium-light skin tone",People & Body,1F9D6 1F3FC,false
🧖🏽,"person in steamy room: medium skin tone",People & Body,1F9D6 1F3FD,false
🧖🏾,"person in steamy room: medium-dark skin tone",People & Body,1F9D6 1F3FE,false
🧖🏿,"person in steamy room: dark skin tone",People & Body,1F9D6 1F3FF,false
🧖‍♂️,"man in steamy room",People & Body,1F9D6 200D 2642 FE0F,false
🧖🏻‍♂️,"man in steamy room: light skin tone",People & Body,1F9D6 1F3FB 200D 2642 FE0F,false
🧖🏼‍♂️,"man in steamy room: medium-light skin tone",People & Body,1F9D6 1F3FC 200D 2642 FE0F,false
🧖🏽‍♂️,"man in steamy room: medium skin tone",People & Body,1F9D6 1F3FD 200D 2642 FE0F,false
🧖🏾‍♂️,"man in steamy room: medium-dark skin tone",People & Body,1F9D6 1F3FE 200D 2642 FE0F,false
🧖🏿‍♂️,"man in steamy room: dark skin tone",People & Body,1F9D6 1F3FF 200D 2642 FE0F,false
🧖‍♀️,"woman in steamy room",People & Body,1F9D6 200D 2640 FE0F,false
🧖🏻‍♀️,"woman in steamy room: light skin tone",People & Body,1F9D6 1F3FB 200D 2640 FE0F,false
🧖🏼‍♀️,"woman in steamy room: medium-light skin tone",People & Body,1F9D6 1F3FC 200D 2640 FE0F,false
🧖🏽‍♀️,"woman in steamy room: medium skin tone",People & Body,1F9D6 1F3FD 200D 2640 FE0F,false
🧖🏾‍♀️,"woman in steamy room: medium-dark skin tone",People & Body,1F9D6 1F3FE 200D 2640 FE0F,false
🧖🏿‍♀️,"woman in steamy room: dark skin tone",People & Body,1F9D6 1F3FF 200D 2640 FE0F,false
🧗,"person climbing",People & Body,1F9D7,true
🧗🏻,"person climbing: light skin tone",People & Body,1F9D7 1F3FB,false
🧗🏼,"person climbing: medium-light skin tone",People & Body,1F9D7 1F3FC,false
🧗🏽,"person climbing: medium skin tone",People & Body,1F9D7 1F3FD,false
🧗🏾,"person climbing: medium-dark skin tone",People & Body,1F9D7 1F3FE,false
🧗🏿,"person climbing: dark skin tone",People & Body,1F9D7 1F3FF,false
🧗‍♂️,"man climbing",People & Body,1F9D7 200D 2642 FE0F,false
🧗🏻‍♂️,"man climbing: light skin tone",People & Body,1F9D7 1F3FB 200D 2642 FE0F,false
🧗🏼‍♂️,"man climbing: medium-light skin tone",People & Body,1F9D7 1F3FC 200D 2642 FE0F,false
🧗🏽‍♂️,"man climbing: medium skin tone",People & Body,1F9D7 1F3FD 200D 2642 FE0F,false
🧗🏾‍♂️,"man climbing: medium-dark skin tone",People & Body,1F9D7 1F3FE 200D 2642 FE0F,false
🧗🏿‍♂️,"man climbing: dark skin tone",People & Body,1F9D7 1F3FF 200D 2642 FE0F,false
🧗‍♀️,"woman climbing",People & Body,1F9D7 200D 2640 FE0F,false
🧗🏻‍♀️,"woman climbing: light skin tone",People & Body,1F9D7 1F3FB 200D 2640 FE0F,false
🧗🏼‍♀️,"woman climbing: medium-light skin tone",People & Body,1F9D7 1F3FC 200D 2640 FE0F,false
🧗🏽‍♀️,"woman climbing: medium skin tone",People & Body,1F9D7 1F3FD 200D 2640 FE0F,false
🧗🏾‍♀️,"woman climbing: medium-dark skin tone",People & Body,1F9D7 1F3FE 200D 2640 FE0F,false
🧗🏿‍♀️,"woman climbing: dark skin tone",People & Body,1F9D7 1F3FF 200D 2640 FE0F,false
🤺,"person fencing",People & Body,1F93A,true
🏇,"horse racing",People & Body,1F3C7,true
🏇🏻,"horse racing: light skin tone",People & Body,1F3C7 1F3FB,false
🏇🏼,"horse racing: medium-light skin tone",People & Body,1F3C7 1F3FC,false
🏇🏽,"horse racing: medium skin tone",People & Body,1F3C7 1F3FD,false
🏇🏾,"horse racing: medium-dark skin tone",People & Body,1F3C7 1F3FE,false
🏇🏿,"horse racing: dark skin tone",People & Body,1F3C7 1F3FF,false
⛷️,"skier",People & Body,26F7 FE0F,false
🏂,"snowboarder",People & Body,1F3C2,true
🏂🏻,"snowboarder: light skin tone",People & Body,1F3C2 1F3FB,false
🏂🏼,"snowboarder: medium-light skin tone",People & Body,1F3C2 1F3FC,false
🏂🏽,"snowboarder: medium skin tone",People & Body,1F3C2 1F3FD,false
🏂🏾,"snowboarder: medium-dark skin tone",People & Body,1F3C2 1F3FE,false
🏂🏿,"snowboarder: dark skin tone",People & Body,1F3C2 1F3FF,false
🏌️,"person golfing",People & Body,1F3CC FE0F,false
🏌🏻,"person golfing: light skin tone",People & Body,1F3CC 1F3FB,false
🏌🏼,"person golfing: medium-light skin tone",People & Body,1F3CC 1F3FC,false
🏌🏽,"person golfing: medium skin tone",People & Body,1F3CC 1F3FD,false
🏌🏾,"person golfing: medium-dark skin tone",People & Body,1F3CC 1F3FE,false
🏌🏿,"person golfing: dark skin tone",People & Body,1F3CC 1F3FF,false
🏌️‍♂️,"man golfing",People & Body,1F3CC FE0F 200D 2642 FE0F,false
🏌🏻‍♂️,"man golfing: light skin tone",People & Body,1F3CC 1F3FB 200D 2642 FE0F,false
🏌🏼‍♂️,"man golfing: medium-light skin tone",People & Body,1F3CC 1F3FC 200D 2642 FE0F,false
🏌🏽‍♂️,"man golfing: medium skin tone",People & Body,1F3CC 1F3FD 200D 2642 FE0F,false
🏌🏾‍♂️,"man golfing: medium-dark skin tone",People & Body,1F3CC 1F3FE 200D 2642 FE0F,false
🏌🏿‍♂️,"man golfing: dark skin tone",People & Body,1F3CC 1F3FF 200D 2642 FE0F,false
🏌️‍♀️,"woman golfing",People & Body,1F3CC FE0F 200D 2640 FE0F,false
🏌🏻‍♀️,"woman golfing: light skin tone",People & Body,1F3CC 1F3FB 200D 2640 FE0F,false
🏌🏼‍♀️,"woman golfing: medium-light skin tone",People & Body,1F3CC 1F3FC 200D 2640 FE0F,false
🏌🏽‍♀️,"woman golfing: medium skin tone",People & Body,1F3CC 1F3FD 200D 2640 FE0F,false
🏌🏾‍♀️,"woman golfing: medium-dark skin tone",People & Body,1F3CC 1F3FE 200D 2640 FE0F,false
🏌🏿‍♀️,"woman golfing: dark skin tone",People & Body,1F3CC 1F3FF 200D 2640 FE0F,false
🏄,"person surfing",People & Body,1F3C4,true
🏄🏻,"person surfing: light skin tone",People & Body,1F3C4 1F3FB,false
🏄🏼,"person surfing: medium-light skin tone",People & Body,1F3C4 1F3FC,false
🏄🏽,"person surfing: medium skin tone",People & Body,1F3C4 1F3FD,false
🏄🏾,"person surfing: medium-dark skin tone",People & Body,1F3C4 1F3FE,false
🏄🏿,"person surfing: dark skin tone",People & Body,1F3C4 1F3FF,false
🏄‍♂️,"man surfing",People & Body,1F3C4 200D 2642 FE0F,false
🏄🏻‍♂️,"man surfing: light skin tone",People & Body,1F3C4 1F3FB 200D 2642 FE0F,false
🏄🏼‍♂️,"man surfing: medium-light skin tone",People & Body,1F3C4 1F3FC 200D 2642 FE0F,false
🏄🏽‍♂️,"man surfing: medium skin tone",People & Body,1F3C4 1F3FD 200D 2642 FE0F,false
🏄🏾‍♂️,"man surfing: medium-dark skin tone",People & Body,1F3C4 1F3FE 200D 2642 FE0F,false
🏄🏿‍♂️,"man surfing: dark skin tone",People & Body,1F3C4 1F3FF 200D 2642 FE0F,false
🏄‍♀️,"woman surfing",People & Body,1F3C4 200D 2640 FE0F,false
🏄🏻‍♀️,"woman surfing: light skin tone",People & Body,1F3C4 1F3FB 200D 2640 FE0F,false
🏄🏼‍♀️,"woman surfing: medium-light skin tone",People & Body,1F3C4 1F3FC 200D 2640 FE0F,false
🏄🏽‍♀️,"woman surfing: medium skin tone",People & Body,1F3C4 1F3FD 200D 2640 FE0F,false
🏄🏾‍♀️,"woman surfing: medium-dark skin tone",People & Body,1F3C4 1F3FE 200D 2640 FE0F,false
🏄🏿‍♀️,"woman surfing: dark skin tone",People & Body,1F3C4 1F3FF 200D 2640 FE0F,false
🚣,"person rowing boat",People & Body,1F6A3,true
🚣🏻,"person rowing boat: light skin tone",People & Body,1F6A3 1F3FB,false
🚣🏼,"person rowing boat: medium-light skin tone",People & Body,1F6A3 1F3FC,false
🚣🏽,"person rowing boat: medium skin tone",People & Body,1F6A3 1F3FD,false
🚣🏾,"person rowing boat: medium-dark skin tone",People & Body,1F6A3 1F3FE,false
🚣🏿,"person rowing boat: dark skin tone",People & Body,1F6A3 1F3FF,false
🚣‍♂️,"man rowing boat",People & Body,1F6A3 200D 2642 FE0F,false
🚣🏻‍♂️,"man rowing boat: light skin tone",People & Body,1F6A3 1F3FB 200D 2642 FE0F,false
🚣🏼‍♂️,"man rowing boat: medium-light skin tone",People & Body,1F6A3 1F3FC 200D 2642 FE0F,false
🚣🏽‍♂️,"man rowing boat: medium skin tone",People & Body,1F6A3 1F3FD 200D 2642 FE0F,false
🚣🏾‍♂️,"man rowing boat: medium-dark skin tone",People & Body,1F6A3 1F3FE 200D 2642 FE0F,false
🚣🏿‍♂️,"man rowing boat: dark skin tone",People & Body,1F6A3 1F3FF 200D 2642 FE0F,false
🚣‍♀️,"woman rowing boat",People & Body,1F6A3 200D 2640 FE0F,false
🚣🏻‍♀️,"woman rowing boat: light skin tone",People & Body,1F6A3 1F3FB 200D 2640 FE0F,false
🚣🏼‍♀️,"woman rowing boat: medium-light skin tone",People & Body,1F6A3 1F3FC 200D 2640 FE0F,false
🚣🏽‍♀️,"woman rowing boat: medium skin tone",People & Body,1F6A3 1F3FD 200D 2640 FE0F,false
🚣🏾‍♀️,"woman rowing boat: medium-dark skin tone",People & Body,1F6A3 1F3FE 200D 2640 FE0F,false
🚣🏿‍♀️,"woman rowing boat: dark skin tone",People & Body,1F6A3 1F3FF 200D 2640 FE0F,false
🏊,"person swimming",People & Body,1F3CA,true
🏊🏻,"person swimming: light skin tone",People & Body,1F3CA 1F3FB,false
🏊🏼,"person swimming: medium-light skin tone",People & Body,1F3CA 1F3FC,false
🏊🏽,"person swimming: medium skin tone",People & Body,1F3CA 1F3FD,false
🏊🏾,"person swimming: medium-dark skin tone",People & Body,1F3CA 1F3FE,false
🏊🏿,"person swimming: dark skin tone",People & Body,1F3CA 1F3FF,false
🏊‍♂️,"man swimming",People & Body,1F3CA 200D 2642 FE0F,false
🏊🏻‍♂️,"man swimming: light skin tone",People & Body,1F3CA 1F3FB 200D 2642 FE0F,false
🏊🏼‍♂️,"man swimming: medium-light skin tone",People & Body,1F3CA 1F3FC 200D 2642 FE0F,false
🏊🏽‍♂️,"man swimming: medium skin tone",People & Body,1F3CA 1F3FD 200D 2642 FE0F,false
🏊🏾‍♂️,"man swimming: medium-dark skin tone",People & Body,1F3CA 1F3FE 200D 2642 FE0F,false
🏊🏿‍♂️,"man swimming: dark skin tone",People & Body,1F3CA 1F3FF 200D 2642 FE0F,false
🏊‍♀️,"woman swimming",People & Body,1F3CA 200D 2640 FE0F,false
🏊🏻‍♀️,"woman swimming: light skin tone",People & Body,1F3CA 1F3FB 200D 2640 FE0F,false
🏊🏼‍♀️,"woman swimming: medium-light skin tone",People & Body,1F3CA 1F3FC 200D 2640 FE0F,false
🏊🏽‍♀️,"woman swimming: medium skin tone",People & Body,1F3CA 1F3FD 200D 2640 FE0F,false
🏊🏾‍♀️,"woman swimming: medium-dark skin tone",People & Body,1F3CA 1F3FE 200D 2640 FE0F,false
🏊🏿‍♀️,"woman swimming: dark skin tone",People & Body,1F3CA 1F3FF 200D 2640 FE0F,false
⛹️,"person bouncing ball",People & Body,26F9 FE0F,false
⛹🏻,"person bouncing ball: light skin tone",People & Body,26F9 1F3FB,false
⛹🏼,"person bouncing ball: medium-light skin tone",People & Body,26F9 1F3FC,false
⛹🏽,"person bouncing ball: medium skin tone",People & Body,26F9 1F3FD,false
⛹🏾,"person bouncing ball: medium-dark skin tone",People & Body,26F9 1F3FE,false
⛹🏿,"person bouncing ball: dark skin tone",People & Body,26F9 1F3FF,false
⛹️‍♂️,"man bouncing ball",People & Body,26F9 FE0F 200D 2642 FE0F,false
⛹🏻‍♂️,"man bouncing ball: light skin tone",People & Body,26F9 1F3FB 200D 2642 FE0F,false
⛹🏼‍♂️,"man bouncing ball: medium-light skin tone",People & Body,26F9 1F3FC 200D 2642 FE0F,false
⛹🏽‍♂️,"man bouncing ball: medium skin tone",People & Body,26F9 1F3FD 200D 2642 FE0F,false
⛹🏾‍♂️,"man bouncing ball: medium-dark skin tone",People & Body,26F9 1F3FE 200D 2642 FE0F,false
⛹🏿‍♂️,"man bouncing ball: dark skin tone",People & Body,26F9 1F3FF 200D 2642 FE0F,false
⛹️‍♀️,"woman bouncing ball",People & Body,26F9 FE0F 200D 2640 FE0F,false
⛹🏻‍♀️,"woman bouncing ball: light skin tone",People & Body,26F9 1F3FB 200D 2640 FE0F,false
⛹🏼‍♀️,"woman bouncing ball: medium-light skin tone",People & Body,26F9 1F3FC 200D 2640 FE0F,false
⛹🏽‍♀️,"woman bouncing ball: medium skin tone",People & Body,26F9 1F3FD 200D 2640 FE0F,false
⛹🏾‍♀️,"woman bouncing ball: medium-dark skin tone",People & Body,26F9 1F3FE 200D 2640 FE0F,false
⛹🏿‍♀️,"woman bouncing ball: dark skin tone",People & Body,26F9 1F3FF 200D 2640 FE0F,false
🏋️,"person lifting weights",People & Body,1F3CB FE0F,false
🏋🏻,"person lifting weights: light skin tone",People & Body,1F3CB 1F3FB,false
🏋🏼,"person lifting weights: medium-light skin tone",People & Body,1F3CB 1F3FC,false
🏋🏽,"person lifting weights: medium skin tone",People & Body,1F3CB 1F3FD,false
🏋🏾,"person lifting weights: medium-dark skin tone",People & Body,1F3CB 1F3FE,false
🏋🏿,"person lifting weights: dark skin tone",People & Body,1F3CB 1F3FF,false
🏋️‍♂️,"man lifting weights",People & Body,1F3CB FE0F 200D 2642 FE0F,false
🏋🏻‍♂️,"man lifting weights: light skin tone",People & Body,1F3CB 1F3FB 200D 2642 FE0F,false
🏋🏼‍♂️,"man lifting weights: medium-light skin tone",People & Body,1F3CB 1F3FC 200D 2642 FE0F,false
🏋🏽‍♂️,"man lifting weights: medium skin tone",People & Body,1F3CB 1F3FD 200D 2642 FE0F,false
🏋🏾‍♂️,"man lifting weights: medium-dark skin tone",People & Body,1F3CB 1F3FE 200D 2642 FE0F,false
🏋🏿‍♂️,"man lifting weights: dark skin tone",People & Body,1F3CB 1F3FF 200D 2642 FE0F,false
🏋️‍♀️,"woman lifting weights",People & Body,1F3CB FE0F 200D 2640 FE0F,false
🏋🏻‍♀️,"woman lifting weights: light skin tone",People & Body,1F3CB 1F3FB 200D 2640 FE0F,false
🏋🏼‍♀️,"woman lifting weights: medium-light skin tone",People & Body,1F3CB 1F3FC 200D 2640 FE0F,false
🏋🏽‍♀️,"woman lifting weights: medium skin tone",People & Body,1F3CB 1F3FD 200D 2640 FE0F,false
🏋🏾‍♀️,"woman lifting weights: medium-dark skin tone",People & Body,1F3CB 1F3FE 200D 2640 FE0F,false
🏋🏿‍♀️,"woman lifting weights: dark skin tone",People & Body,1F3CB 1F3FF 200D 2640 FE0F,false
🚴,"person biking",People & Body,1F6B4,true
🚴🏻,"person biking: light skin tone",People & Body,1F6B4 1F3FB,false
🚴🏼,"person biking: medium-light skin tone",People & Body,1F6B4 1F3FC,false
🚴🏽,"person biking: medium skin tone",People & Body,1F6B4 1F3FD,false
🚴🏾,"person biking: medium-dark skin tone",People & Body,1F6B4 1F3FE,false
🚴🏿,"person biking: dark skin tone",People & Body,1F6B4 1F3FF,false
🚴‍♂️,"man biking",People & Body,1F6B4 200D 2642 FE0F,false
🚴🏻‍♂️,"man biking: light skin tone",People & Body,1F6B4 1F3FB 200D 2642 FE0F,false
🚴🏼‍♂️,"man biking: medium-light skin tone",People & Body,1F6B4 1F3FC 200D 2642 FE0F,false
🚴🏽‍♂️,"man biking: medium skin tone",People & Body,1F6B4 1F3FD 200D 2642 FE0F,false
🚴🏾‍♂️,"man biking: medium-dark skin tone",People & Body,1F6B4 1F3FE 200D 2642 FE0F,false
🚴🏿‍♂️,"man biking: dark skin tone",People & Body,1F6B4 1F3FF 200D 2642 FE0F,false
🚴‍♀️,"woman biking",People & Body,1F6B4 200D 2640 FE0F,false
🚴🏻‍♀️,"woman biking: light skin tone",People & Body,1F6B4 1F3FB 200D 2640 FE0F,false
🚴🏼‍♀️,"woman biking: medium-light skin tone",People & Body,1F6B4 1F3FC 200D 2640 FE0F,false
🚴🏽‍♀️,"woman biking: medium skin tone",People & Body,1F6B4 1F3FD 200D 2640 FE0F,false
🚴🏾‍♀️,"woman biking: medium-dark skin tone",People & Body,1F6B4 1F3FE 200D 2640 FE0F,false
🚴🏿‍♀️,"woman biking: dark skin tone",People & Body,1F6B4 1F3FF 200D 2640 FE0F,false
🚵,"person mountain biking",People & Body,1F6B5,true
🚵🏻,"person mountain biking: light skin tone",People & Body,1F6B5 1F3FB,false
🚵🏼,"person mountain biking: medium-light skin tone",People & Body,1F6B5 1F3FC,false
🚵🏽,"person mountain biking: medium skin tone",People & Body,1F6B5 1F3FD,false
🚵🏾,"person mountain biking: medium-dark skin tone",People & Body,1F6B5 1F3FE,false
🚵🏿,"person mountain biking: dark skin tone",People & Body,1F6B5 1F3FF,false
🚵‍♂️,"man mountain biking",People & Body,1F6B5 200D 2642 FE0F,false
🚵🏻‍♂️,"man mountain biking: light skin tone",People & Body,1F6B5 1F3FB 200D 2642 FE0F,false
🚵🏼‍♂️,"man mountain biking: medium-light skin tone",People & Body,1F6B5 1F3FC 200D 2642 FE0F,false
🚵🏽‍♂️,"man mountain biking: medium skin tone",People & Body,1F6B5 1F3FD 200D 2642 FE0F,false
🚵🏾‍♂️,"man mountain biking: medium-dark skin tone",People & Body,1F6B5 1F3FE 200D 2642 FE0F,false
🚵🏿‍♂️,"man mountain biking: dark skin tone",People & Body,1F6B5 1F3FF 200D 2642 FE0F,false
🚵‍♀️,"woman mountain biking",People & Body,1F6B5 200D 2640 FE0F,false
🚵🏻‍♀️,"woman mountain biking: light skin tone",People & Body,1F6B5 1F3FB 200D 2640 FE0F,false
🚵🏼‍♀️,"woman mountain biking: medium-light skin tone",People & Body,1F6B5 1F3FC 200D 2640 FE0F,false
🚵🏽‍♀️,"woman mountain biking: medium skin tone",People & Body,1F6B5 1F3FD 200D 2640 FE0F,false
🚵🏾‍♀️,"woman mountain biking: medium-dark skin tone",People & Body,1F6B5 1F3FE 200D 2640 FE0F,false
🚵🏿‍♀️,"woman mountain biking: dark skin tone",People & Body,1F6B5 1F3FF 200D 2640 FE0F,false
🤸,"person cartwheeling",People & Body,1F938,true
🤸🏻,"person cartwheeling: light skin tone",People & Body,1F938 1F3FB,false
🤸🏼,"person cartwheeling: medium-light skin tone",People & Body,1F938 1F3FC,false
🤸🏽,"person cartwheeling: medium skin tone",People & Body,1F938 1F3FD,false
🤸🏾,"person cartwheeling: medium-dark skin tone",People & Body,1F938 1F3FE,false
🤸🏿,"person cartwheeling: dark skin tone",People & Body,1F938 1F3FF,false
🤸‍♂️,"man cartwheeling",People & Body,1F938 200D 2642 FE0F,false
🤸🏻‍♂️,"man cartwheeling: light skin tone",People & Body,1F938 1F3FB 200D 2642 FE0F,false
🤸🏼‍♂️,"man cartwheeling: medium-light skin tone",People & Body,1F938 1F3FC 200D 2642 FE0F,false
🤸🏽‍♂️,"man cartwheeling: medium skin tone",People & Body,1F938 1F3FD 200D 2642 FE0F,false
🤸🏾‍♂️,"man cartwheeling: medium-dark skin tone",People & Body,1F938 1F3FE 200D 2642 FE0F,false
🤸🏿‍♂️,"man cartwheeling: dark skin tone",People & Body,1F938 1F3FF 200D 2642 FE0F,false
🤸‍♀️,"woman cartwheeling",People & Body,1F938 200D 2640 FE0F,false
🤸🏻‍♀️,"woman cartwheeling: light skin tone",People & Body,1F938 1F3FB 200D 2640 FE0F,false
🤸🏼‍♀️,"woman cartwheeling: medium-light skin tone",People & Body,1F938 1F3FC 200D 2640 FE0F,false
🤸🏽‍♀️,"woman cartwheeling: medium skin tone",People & Body,1F938 1F3FD 200D 2640 FE0F,false
🤸🏾‍♀️,"woman cartwheeling: medium-dark skin tone",People & Body,1F938 1F3FE 200D 2640 FE0F,false
🤸🏿‍♀️,"woman cartwheeling: dark skin tone",People & Body,1F938 1F3FF 200D 2640 FE0F,false
🤼,"people wrestling",People & Body,1F93C,true
🤼‍♂️,"men wrestling",People & Body,1F93C 200D 2642 FE0F,false
🤼‍♀️,"women wrestling",People & Body,1F93C 200D 2640 FE0F,false
🤽,"person playing water polo",People & Body,1F93D,true
🤽🏻,"person playing water polo: light skin tone",People & Body,1F93D 1F3FB,false
🤽🏼,"person playing water polo: medium-light skin tone",People & Body,1F93D 1F3FC,false
🤽🏽,"person playing water polo: medium skin tone",People & Body,1F93D 1F3FD,false
🤽🏾,"person playing water polo: medium-dark skin tone",People & Body,1F93D 1F3FE,false
🤽🏿,"person playing water polo: dark skin tone",People & Body,1F93D 1F3FF,false
🤽‍♂️,"man playing water polo",People & Body,1F93D 200D 2642 FE0F,false
🤽🏻‍♂️,"man playing water polo: light skin tone",People & Body,1F93D 1F3FB 200D 2642 FE0F,false
🤽🏼‍♂️,"man playing water polo: medium-light skin tone",People & Body,1F93D 1F3FC 200D 2642 FE0F,false
🤽🏽‍♂️,"man playing water polo: medium skin tone",People & Body,1F93D 1F3FD 200D 2642 FE0F,false
🤽🏾‍♂️,"man playing water polo: medium-dark skin tone",People & Body,1F93D 1F3FE 200D 2642 FE0F,false
🤽🏿‍♂️,"man playing water polo: dark skin tone",People & Body,1F93D 1F3FF 200D 2642 FE0F,false
🤽‍♀️,"woman playing water polo",People & Body,1F93D 200D 2640 FE0F,false
🤽🏻‍♀️,"woman playing water polo: light skin tone",People & Body,1F93D 1F3FB 200D 2640 FE0F,false
🤽🏼‍♀️,"woman playing water polo: medium-light skin tone",People & Body,1F93D 1F3FC 200D 2640 FE0F,false
🤽🏽‍♀️,"woman playing water polo: medium skin tone",People & Body,1F93D 1F3FD 200D 2640 FE0F,false
🤽🏾‍♀️,"woman playing water polo: medium-dark skin tone",People & Body,1F93D 1F3FE 200D 2640 FE0F,false
🤽🏿‍♀️,"woman playing water polo: dark skin tone",People & Body,1F93D 1F3FF 200D 2640 FE0F,false
🤾,"person playing handball",People & Body,1F93E,true
🤾🏻,"person playing handball: light skin tone",People & Body,1F93E 1F3FB,false
🤾🏼,"person playing handball: medium-light skin tone",People & Body,1F93E 1F3FC,false
🤾🏽,"person playing handball: medium skin tone",People & Body,1F93E 1F3FD,false
🤾🏾,"person playing handball: medium-dark skin tone",People & Body,1F93E 1F3FE,false
🤾🏿,"person playing handball: dark skin tone",People & Body,1F93E 1F3FF,false
🤾‍♂️,"man playing handball",People & Body,1F93E 200D 2642 FE0F,false
🤾🏻‍♂️,"man playing handball: light skin tone",People & Body,1F93E 1F3FB 200D 2642 FE0F,false
🤾🏼‍♂️,"man playing handball: medium-light skin tone",People & Body,1F93E 1F3FC 200D 2642 FE0F,false
🤾🏽‍♂️,"man playing handball: medium skin tone",People & Body,1F93E 1F3FD 200D 2642 FE0F,false
🤾🏾‍♂️,"man playing handball: medium-dark skin tone",People & Body,1F93E 1F3FE 200D 2642 FE0F,false
🤾🏿‍♂️,"man playing handball: dark skin tone",People & Body,1F93E 1F3FF 200D 2642 FE0F,false
🤾‍♀️,"woman playing handball",People & Body,1F93E 200D 2640 FE0F,false
🤾🏻‍♀️,"woman playing handball: light skin tone",People & Body,1F93E 1F3FB 200D 2640 FE0F,false
🤾🏼‍♀️,"woman playing handball: medium-light skin tone",People & Body,1F93E 1F3FC 200D 2640 FE0F,false
🤾🏽‍♀️,"woman playing handball: medium skin tone",People & Body,1F93E 1F3FD 200D 2640 FE0F,false
🤾🏾‍♀️,"woman playing handball: medium-dark skin tone",People & Body,1F93E 1F3FE 200D 2640 FE0F,false
🤾🏿‍♀️,"woman playing handball: dark skin tone",People & Body,1F93E 1F3FF 200D 2640 FE0F,false
🤹,"person juggling",People & Body,1F939,true
🤹🏻,"person juggling: light skin tone",People & Body,1F939 1F3FB,false
🤹🏼,"person juggling: medium-light skin tone",People & Body,1F939 1F3FC,false
🤹🏽,"person juggling: medium skin tone",People & Body,1F939 1F3FD,false
🤹🏾,"person juggling: medium-dark skin tone",People & Body,1F939 1F3FE,false
🤹🏿,"person juggling: dark skin tone",People & Body,1F939 1F3FF,false
🤹‍♂️,"man juggling",People & Body,1F939 200D 2642 FE0F,false
🤹🏻‍♂️,"man juggling: light skin tone",People & Body,1F939 1F3FB 200D 2642 FE0F,false
🤹🏼‍♂️,"man juggling: medium-light skin tone",People & Body,1F939 1F3FC 200D 2642 FE0F,false
🤹🏽‍♂️,"man juggling: medium skin tone",People & Body,1F939 1F3FD 200D 2642 FE0F,false
🤹🏾‍♂️,"man juggling: medium-dark skin tone",People & Body,1F939 1F3FE 200D 2642 FE0F,false
🤹🏿‍♂️,"man juggling: dark skin tone",People & Body,1F939 1F3FF 200D 2642 FE0F,false
🤹‍♀️,"woman juggling",People & Body,1F939 200D 2640 FE0F,false
🤹🏻‍♀️,"woman juggling: light skin tone",People & Body,1F939 1F3FB 200D 2640 FE0F,false
🤹🏼‍♀️,"woman juggling: medium-light skin tone",People & Body,1F939 1F3FC 200D 2640 FE0F,false
🤹🏽‍♀️,"woman juggling: medium skin tone",People & Body,1F939 1F3FD 200D 2640 FE0F,false
🤹🏾‍♀️,"woman juggling: medium-dark skin tone",People & Body,1F939 1F3FE 200D 2640 FE0F,false
